rank,player_id,name,conservative_rating,rating,rd,sets_played
417,1321838,Adam,1259.6,1665.9,203.2,26
418,2334632,MOB | Lemon,1259.1,1640.3,190.6,22
419,1083418,CRG/GRNT/MXC | Vapor,1258.8,1697.0,219.1,4
420,467958,CTG | MMG+ | Cheara,1257.2,1412.9,77.8,75
421,20766,WPC | Vinylic.,1257.0,1487.5,115.3,42
422,684306,Drewsephix / Cyro X,1254.8,1517.2,131.2,42
423,812513,SBU | Luckky,1254.7,1394.3,69.8,91
424,1603236,Neku (B),1253.6,1434.3,90.3,36
425,3381604,No T.,1252.8,1410.4,78.8,100
426,1590243,GS/HoM | Majestic Souls,1249.5,1647.5,199.0,13
427,4496420,Stelter,1248.2,1672.9,212.4,4
428,569195,UU | Mizu,1246.4,1588.4,171.0,8
429,3652196,Big Water,1245.1,1699.4,227.1,5
430,427133,username,1242.3,1591.5,174.6,185
431,2074159,SBU || CB | Chudliest Catch,1241.6,1404.1,81.3,85
432,5501427,Raptor,1241.3,1732.4,245.5,3
433,46551,MOB | Relic Song,1240.6,1364.7,62.1,389
434,1751700,Kimboiyachi,1238.6,1649.6,205.5,4
435,2996650,JRaz16,1236.9,1409.9,86.5,71
436,825382,NEINx,1236.4,1367.1,65.3,120
437,704448,Prant,1235.3,1517.4,141.1,77
438,2714496,Kevo360,1234.9,1417.6,91.3,135
439,1592950,DDC | WillMill,1234.6,1549.9,157.7,8
440,4148594,Stelter,1234.3,1693.2,229.5,4
441,358960,USAE | inf.escape,1233.3,1472.0,119.3,91
442,4060299,GSG | Reed,1230.8,1802.6,285.9,3
443,1252101,Maxa,1230.3,1510.6,140.2,85
444,142720,Kiranchi,1228.8,1825.0,298.1,3
445,2634157,POP | SparkSkill,1228.7,1436.6,104.0,122
446,69946,BACKTOTHELOOT,1228.3,1610.9,191.3,61
447,2750451,FSC | 1965 Ford Transit,1225.8,1414.0,94.1,71
448,2264877,Lockhart,1224.4,1358.5,67.1,102
449,509309,gm | trafe,1220.9,1716.4,247.7,4
450,1580796,Señor,1218.4,1417.6,99.6,97
451,3605541,Aero,1218.2,1666.1,224.0,4
452,134891,GRNT | Jeans,1214.1,1725.6,255.8,5
453,1787007,GWU | NC2 | | chicken,1213.9,1444.3,115.2,21
454,1257079,天 | Pryce,1213.4,1346.1,66.3,257
455,3440801,CHP | Moat,1211.7,1679.9,234.1,4
