rank,player_id,name,conservative_rating,rating,rd,sets_played
579,256273,Brownie,1074.6,1463.5,194.4,75
580,1669700,Goldsmith,1073.9,1376.9,151.5,148
581,1334807,KOPA,1073.8,1431.8,179.0,74
582,3436214,Gmx,1072.0,1377.4,152.7,18
583,4589211,Raptor,1071.5,1568.3,248.4,3
584,2008062,Pango,1071.2,1671.7,300.3,1
585,3907225,UG,1069.8,1459.3,194.8,6
586,3892820,Gyler,1068.6,1533.2,232.3,3
587,1159658,Toogis,1067.9,1409.6,170.8,33
588,1582252,ImYeah (A),1067.8,1279.4,105.8,76
589,1576596,Agua,1067.0,1526.3,229.7,4
590,135614,PHNM | Storm,1066.2,1558.2,246.0,5
591,878292,C64 | TicoTico,1064.8,1668.5,301.8,1
592,62609,ZSP | Fabiio,1063.9,1514.2,225.1,5
593,339291,Ragnellrok / Tom,1063.4,1610.2,273.4,3
594,2106082,butter,1061.9,1627.0,282.5,2
595,2802053,Billio,1061.9,1627.0,282.5,2
596,1154098,LOA5000,1061.5,1326.9,132.7,76
597,4369447,cmeonline,1060.0,1467.5,203.8,6
598,3955123,Ganondong,1059.2,1445.2,193.0,5
599,2689576,Broshi,1058.0,1299.8,120.9,33
600,2093234,poo | Doi,1055.8,1392.0,168.1,71
601,147707,CCC | Rudy,1054.9,1554.7,249.9,4
602,2908736,MOB | Auresco,1053.0,1372.1,159.6,22
603,4614432,haste,1052.3,1272.8,110.2,24
604,1884925,RTW | QUORTH,1051.9,1270.3,109.2,87
605,1806789,TAMUC | Master byron,1049.6,1418.8,184.6,7
606,4018244,aqua,1048.3,1425.2,188.4,6
607,5358,Kamex / Papaya,1048.0,1647.7,299.9,2
608,1520007,Bahoochie,1047.1,1201.0,77.0,50
609,3057279,tripp,1044.2,1192.3,74.0,107
610,1459705,ryu,1043.6,1661.8,309.1,1
611,4148593,Stelter,1041.8,1506.7,232.4,3
612,5531108,CHP | MomHunter9009,1040.6,1561.0,260.2,3
613,544841,Zio,1038.6,1565.6,263.5,3
614,328872,3.0,1037.7,1217.9,90.1,75
615,1285987,HF,1036.7,1669.7,316.5,1
616,428414,XIII | JKnight,1035.3,1377.1,170.9,111
617,3722643,Lilac Rain,1034.6,1468.2,216.8,4
618,1810177,HU | AquaSerenity,1033.5,1154.8,60.6,95
619,172699,JamesB,1031.2,1190.2,79.5,66
620,260300,MOB | cba,1030.5,1199.6,84.6,414
621,1017520,808s | Muted,1030.2,1629.0,299.4,2
622,3759410,Moonbeam,1030.2,1369.2,169.5,12
623,4345812,cstew,1027.1,1279.8,126.4,34
624,128740,NSM | Salty Fun,1026.8,1594.5,283.8,2
625,148121,George,1025.3,1370.3,172.5,9
626,2797430,おーど/OWD,1024.7,1508.3,241.8,3
627,849725,Arc | RyuuJin,1023.4,1644.4,310.5,1
628,777690,Mz. | fortyseven,1022.3,1603.8,290.7,2
629,3419888,Queenie,1020.8,1185.2,82.2,108
630,279753,MOB | crimson,1019.8,1179.4,79.8,441
631,490588,Paulo,1019.7,1408.8,194.5,6
632,3205092,REV | MetalGearFear,1019.7,1449.5,214.9,5
633,850428,Flo,1019.6,1621.4,300.9,1
634,4369445,cmeonline,1019.1,1492.1,236.5,3
635,3614853,REV | Lightning,1018.4,1249.8,115.7,26
636,3377495,SHU | Dylaxian,1018.4,1216.8,99.2,68
637,1713927,T.TVRussell_Senpai,1017.0,1495.4,239.2,3
638,321223,Heist | Experience,1015.8,1300.8,142.5,10
639,2636721,CURSE,1013.7,1609.6,297.9,1
640,1883748,Hanler30,1013.5,1164.2,75.4,75
641,2791128,franiss,1009.9,1620.1,305.1,1
642,1544557,RW | | MSS,1005.0,1207.4,101.2,46
643,3759548,FREE AGENT | Onyx!~,1003.8,1157.4,76.8,55
644,145261,Edwin,1002.3,1605.8,301.7,1
645,1451810,GamingBearsss,1001.9,1367.0,182.6,23
646,970468,Iona University,1001.1,1307.4,153.1,75
647,4369446,cmeonline,1001.1,1397.8,198.3,6
648,3531989,ShineG4GWoke2 | xltl,1000.3,1284.4,142.0,14
649,3605518,francis,998.2,1392.9,197.3,7
650,2996636,SK | Zeijus,996.3,1359.8,181.8,7
651,2326839,Jackbozz,993.9,1294.7,150.4,71
652,541675,silly | Togie,993.5,1326.0,166.3,77
653,1036286,RoxasXIII,991.5,1618.3,313.4,1
654,793599,Mr.Mudkip,990.9,1603.4,306.3,1
655,182145,Javi,990.3,1296.5,153.1,10
656,3759411,MoistMayo,988.7,1330.6,170.9,11
657,26499,NA | Censored,988.5,1620.0,315.7,1
658,2053683,VikVaughn,983.5,1420.2,218.3,3
659,2731822,Ansd,982.8,1281.2,149.2,9
660,1321120,Fire Guts | Kuuga,982.3,1398.4,208.0,4
661,1187453,MOB | Rap,979.0,1248.7,134.9,44
662,2694799,Don Melon,978.9,1168.9,95.0,116
663,3683175,MSU | dbfc | Chief Beef,978.6,1369.5,195.4,8
664,2716663,PWDR | SavageCube,978.5,1596.3,308.9,1
665,982139,LuuvMiki,977.9,1167.4,94.7,88
666,2333297,Sinbad,977.1,1608.2,315.6,1
667,2503807,Iona | Brick Eyes,977.0,1248.3,135.6,76
668,1586193,Cleaningproduct,975.4,1662.3,343.5,1
669,434393,TR | Xsage93,973.8,1605.3,315.7,1
670,450353,Smooth,973.0,1423.7,225.4,6
671,1006188,GWU | PokeBlu,972.6,1354.2,190.8,12
672,13612,Shuzen,969.2,1601.6,316.2,1
673,1287199,PhantomsCode,968.7,1520.8,276.0,2
674,3975151,Cheech,966.9,1371.6,202.3,5
675,3388699,Javi,966.0,1327.4,180.7,5
676,3503498,Cylo,965.9,1443.5,238.8,3
677,1738307,MikeyProHD,965.5,1604.1,319.3,1
678,971156,Unsponsored | ChefRoyardee,965.5,1311.7,173.1,63
679,3067169,GORDO | TFO256,963.9,1588.7,312.4,1
680,4488560,Cheech,962.5,1343.6,190.6,5
681,2010983,ScottGreene,960.8,1411.4,225.3,3
682,18685,JLo,960.0,1289.7,164.9,57
683,413400,SonicBoxx | KingJak,959.7,1511.0,275.7,2
